Age,YearsExperience,EducationLevel,ProjectsCompleted,WeeklyWorkingHours,PerformanceScore,Salary
29,3,2,7,41,7.4,62091
23,0,2,0,36,6.9,39295
51,26,2,27,36,7.6,249706
60,38,2,36,46,7.3,449688
57,27,2,15,47,6.6,265714
56,35,3,42,47,5.3,408482
44,23,3,30,49,6.4,246787
51,21,4,27,49,8.1,234517
26,0,1,0,32,7.0,51827
22,0,3,7,45,7.4,53181
40,16,3,23,40,6.6,185466
48,23,4,26,39,5.5,252201
31,4,1,5,46,6.7,71280
24,2,3,4,34,5.6,52969
35,9,3,13,34,5.5,105033
26,5,2,8,46,8.7,93836
50,23,3,20,45,6.4,246078
58,29,1,28,44,6.0,331562
22,0,3,1,39,9.3,57526
35,10,4,9,47,8.1,109526
31,7,3,10,46,6.5,91291
28,5,2,10,43,7.6,82765
46,17,1,18,37,6.7,168424
25,0,4,3,41,6.0,50892
26,0,2,0,47,7.7,52514
46,17,1,22,50,6.5,160975
24,0,3,5,41,7.1,60273
39,9,2,4,42,8.4,95798
40,11,1,16,42,8.3,115499
53,31,2,19,44,6.2,321941
40,11,1,17,40,7.7,130703
32,8,3,10,30,5.4,86595
21,0,3,2,49,7.6,39637
46,20,3,11,52,7.2,205462
34,8,3,8,40,7.5,76814
58,36,3,24,38,6.6,395954
57,30,3,46,42,9.9,340575
31,5,1,6,42,5.7,63020
56,35,3,36,48,8.4,419870
33,11,2,14,43,5.6,125527
23,0,3,0,39,7.7,56231
53,32,3,41,36,7.8,380918
26,5,2,7,47,7.1,69857
30,9,4,15,46,6.3,115729
25,0,1,6,48,7.2,44709
43,19,3,23,38,7.4,178417
30,6,1,13,52,9.5,78393
22,0,4,4,34,5.8,37493
33,12,1,5,47,6.2,116215
60,30,1,37,33,7.4,327998
22,0,2,0,39,6.6,41764
40,13,2,20,51,6.9,126062
21,0,2,0,47,8.5,51173
57,31,3,34,40,3.1,342053
29,7,2,14,40,6.2,97080
37,10,1,13,44,4.6,117152
29,7,2,5,46,5.3,80985
31,1,3,5,49,10.0,76557
35,7,3,11,41,7.8,84337
44,16,3,26,35,8.3,167561
58,37,3,22,44,6.9,427355
55,27,2,20,41,8.1,280325
50,28,1,33,36,4.5,291960
51,25,2,31,44,8.5,297716
25,4,3,5,42,5.9,70402
34,9,4,8,45,6.3,111596
31,4,2,6,39,7.7,56179
29,0,1,0,45,7.4,22000
54,33,1,48,36,7.1,368699
32,10,2,10,39,5.1,117352
55,28,3,20,42,7.1,297875
55,29,1,46,52,8.3,334008
21,0,4,4,47,6.3,64368
60,30,2,24,48,8.8,346218
42,20,4,28,50,5.8,231446
49,19,3,25,60,7.0,217971
28,4,3,8,43,9.1,58506
31,8,3,9,50,6.0,92888
57,30,3,24,48,8.5,332881
34,6,3,9,48,9.8,84682
50,28,3,14,52,7.2,304881
55,25,3,34,41,6.3,298990
41,14,4,12,41,5.9,169063
57,29,3,42,45,8.8,341307
25,0,3,7,42,8.8,60703
39,13,3,14,45,9.0,140257
34,4,2,10,51,7.0,91829
46,25,1,27,41,8.5,243456
24,0,2,6,41,6.9,54004
45,24,3,35,44,5.8,271877
45,21,3,25,42,8.6,222140
38,16,2,20,33,9.3,167725
60,35,3,36,40,5.6,387289
28,0,3,0,46,5.5,26050
59,30,1,15,50,7.1,291807
60,30,3,21,37,8.3,336910
34,11,3,10,37,5.4,130624
52,24,1,32,43,7.3,227648
58,35,3,25,33,6.2,411610
53,27,3,18,41,8.0,289716
43,19,1,12,34,5.9,181368
35,7,1,7,50,8.1,72271
53,27,4,34,39,6.8,322370
45,17,2,13,51,5.7,175803
37,16,2,24,49,7.1,189796
53,27,1,16,40,4.3,278940
22,1,3,6,38,6.2,63478
34,13,3,13,42,7.5,135121
60,32,3,25,42,4.5,347164
60,33,1,38,45,3.4,348980
59,36,4,46,39,3.7,437431
26,0,2,0,47,8.9,49945
26,0,2,8,44,6.9,59080
23,0,2,4,41,6.3,53203
27,4,2,3,39,8.3,44833
28,2,3,0,42,6.4,66769
35,11,4,8,39,7.4,136050
49,26,2,23,43,7.0,269599
53,24,3,30,43,6.3,266628
50,20,3,13,44,7.4,207266
59,37,4,42,52,8.1,462463
47,26,2,25,42,6.7,270023
56,34,3,50,48,6.4,410927
49,22,2,42,44,6.5,246558
58,28,3,39,42,3.8,304464
53,32,1,49,42,7.4,363672
57,31,3,43,43,5.3,387038
47,20,2,30,44,7.9,210424
53,24,2,35,38,6.9,256161
24,0,3,1,36,7.1,30983
42,16,3,11,46,8.0,164151
22,0,3,1,47,5.7,50789
30,2,3,1,47,7.5,65251
25,0,2,1,44,7.4,41480
30,7,3,9,47,6.7,105876
53,24,2,40,47,5.7,274431
58,36,1,23,47,7.8,393402
33,10,3,15,39,8.0,101644
51,29,3,37,38,7.2,336587
56,35,3,50,41,5.5,415086
44,20,3,24,43,6.3,215117
35,10,3,15,42,6.9,113207
49,23,1,28,34,8.0,245756
28,3,1,4,52,4.8,59602
25,4,3,5,42,6.2,63588
49,26,2,36,44,6.4,269375
24,3,1,6,49,6.9,73685
32,7,2,16,31,5.2,91559
22,0,3,6,40,6.7,47315
47,21,2,28,41,6.6,190399
51,23,3,23,41,5.5,242045
56,26,3,11,42,6.8,266816
56,35,2,28,50,6.2,384678
46,22,3,17,46,7.7,243711
47,17,3,27,48,5.8,197888
25,4,3,7,43,7.1,76122
40,11,3,12,36,5.9,131065
31,4,1,16,33,6.2,53172
30,3,3,4,35,7.4,53456
60,35,2,23,45,7.3,388998
58,31,4,25,43,6.4,342326
26,4,3,7,42,6.6,77856
28,4,3,7,41,5.0,58364
43,16,2,12,53,9.0,188260
46,23,2,32,39,8.0,237886
32,10,2,6,48,7.9,138234
46,16,2,14,43,4.8,183232
33,11,2,18,43,6.2,122643
60,39,3,41,49,6.5,482534
38,13,1,21,50,4.3,131815
45,19,4,25,42,8.2,227709
53,27,1,24,47,9.0,284228
60,31,4,37,45,9.9,354315
32,8,4,8,43,5.5,56096
56,35,3,22,44,7.2,391775
24,0,3,4,40,8.9,51399
25,0,2,2,41,6.6,54864
57,27,3,36,40,6.2,300600
28,2,2,5,48,4.4,62285
48,25,2,24,43,8.6,262153
51,29,3,33,37,7.0,318183
29,3,2,4,39,6.0,67308
49,28,3,42,30,7.4,285624
34,7,2,14,41,7.2,92756
60,33,2,49,43,7.2,377510
42,12,1,18,42,6.7,144417
31,4,1,8,53,9.3,70051
43,13,2,10,46,6.8,142259
21,0,1,10,46,9.3,63808
57,33,1,50,35,7.8,354609
41,14,3,12,41,7.5,148458
46,17,1,29,41,6.8,174310
56,31,3,24,39,8.4,355516
43,21,2,31,39,7.2,233431
21,0,3,0,34,5.7,30852
60,30,2,29,37,5.6,307581
35,14,2,8,47,7.6,157718
41,14,3,17,42,5.7,149568
29,3,2,2,40,6.9,36289
29,2,3,5,43,8.5,42171
30,0,1,3,49,7.4,48802
46,23,4,16,43,6.0,229830
55,32,2,22,46,9.0,374716
45,18,2,17,39,7.8,174165
46,24,3,33,40,8.4,268726
31,10,2,19,45,3.8,113859
58,29,3,27,52,7.5,317127
22,0,2,0,50,8.2,22000
27,0,3,0,46,9.4,51191
38,11,1,8,44,5.0,99561
47,24,3,27,50,8.7,270778
54,24,3,30,47,9.3,270462
47,25,2,15,32,4.2,246609
37,10,1,8,38,7.7,123592
44,15,2,17,45,7.9,154746
45,24,4,30,34,6.5,259324
27,3,2,8,39,6.3,38820
26,0,2,5,40,7.9,41858
44,17,1,14,42,6.1,170408
53,23,2,15,42,6.7,227058
49,22,3,17,42,8.1,238657
42,12,4,19,47,9.5,149390
46,24,3,17,42,7.8,239003
48,24,3,31,41,7.2,268274
41,16,3,7,36,6.3,155790
27,6,1,5,48,5.6,75923
37,16,2,13,40,8.6,159227
40,10,3,10,38,6.8,104435
40,17,4,26,44,8.6,200609
42,12,3,15,39,6.5,129493
48,25,2,32,40,6.1,287341
60,32,2,33,44,7.6,366835
27,0,2,4,41,6.9,47890
21,0,4,0,55,5.3,43220
52,30,3,42,43,9.5,327238
33,3,3,5,46,6.1,52309
50,28,2,35,33,8.3,297992
43,19,3,31,39,8.2,210230
39,17,2,27,38,5.2,177150
52,25,2,36,38,5.6,275673
50,21,3,22,45,6.6,228438
49,22,1,29,48,5.8,242700
49,23,1,16,45,9.4,231877
50,20,4,16,42,6.7,217436
36,15,3,13,40,8.2,165176
60,30,2,26,49,7.7,331799
39,10,3,17,53,7.4,142633
38,13,2,4,44,7.1,140355
21,0,3,3,48,8.7,34867
34,8,3,3,45,5.8,90978
22,0,3,5,47,9.4,53482
48,20,3,20,37,5.2,231518
50,22,2,25,41,8.1,229843
58,30,2,24,45,5.0,306610
24,3,2,3,49,6.6,65570
21,0,2,2,39,7.1,45114
28,0,3,4,33,6.3,37165
49,24,2,9,41,6.7,235417
59,30,1,29,48,5.1,328187
23,1,2,3,35,5.6,29287
52,23,4,19,37,7.7,244849
30,2,2,7,44,7.0,50184
30,1,3,0,42,6.0,56987
39,15,2,22,46,8.9,171976
54,33,1,26,37,5.3,334090
53,32,2,36,41,6.5,343976
43,18,3,28,49,6.3,223931
48,26,3,32,37,7.9,300809
52,24,3,31,50,7.1,278879
27,0,2,4,38,6.8,39747
49,24,1,38,47,4.4,271542
28,3,4,14,41,8.2,61899
21,0,2,3,37,6.7,47036
23,0,3,1,41,7.2,36431
44,16,3,20,46,6.0,170573
43,13,2,11,43,5.7,141369
28,7,3,3,49,9.1,93737
57,35,1,47,50,4.5,390284
23,0,2,4,37,5.5,29908
53,29,1,31,37,9.1,287104
48,23,3,17,36,7.9,250058
28,6,2,14,39,6.5,71050
54,33,3,18,49,8.7,393151
55,26,4,30,46,7.6,293289
52,31,3,33,40,7.3,365273
44,20,3,11,43,7.3,184592
34,12,2,16,50,7.7,146028
52,28,2,23,53,7.7,315923
36,8,2,8,44,10.0,118603
24,0,3,5,30,6.7,22000
57,28,4,16,44,6.8,297407
41,16,4,28,48,5.3,191608
34,7,3,10,44,6.9,95191
51,28,4,33,47,9.6,332310
38,8,2,11,45,8.4,97687
27,3,3,5,37,6.2,76360
30,0,4,5,39,7.0,77152
27,0,2,0,41,5.2,34948
53,23,4,25,48,5.6,259731
43,13,2,16,39,7.2,139335
41,20,3,12,45,6.3,221059
39,17,3,20,45,5.5,191059
39,14,4,12,51,7.7,147553
56,33,2,22,43,6.9,351258
49,27,3,25,34,4.8,272198
38,17,3,15,46,4.1,206198
22,0,2,1,54,6.2,51174
21,0,3,0,47,4.8,30752
25,4,3,2,39,4.4,49773
40,19,3,13,38,8.6,208393
31,10,2,8,38,6.9,117709
22,0,2,0,53,6.6,52777
23,0,3,5,41,6.7,38793
43,22,2,16,40,5.4,222570
32,5,2,6,42,7.6,75431
40,10,4,18,41,6.8,113365
25,2,3,1,51,5.9,43542
57,29,3,31,38,6.1,323724
58,34,2,37,49,5.3,385917
50,26,2,28,44,6.4,283920
29,4,2,10,49,6.7,82002
54,28,2,20,51,6.4,315253
55,28,3,21,43,7.1,293789
42,18,3,17,41,6.9,197163
44,16,2,25,43,7.3,183470
37,11,1,15,43,8.3,118554
30,9,2,11,35,7.8,104172
50,29,1,40,51,8.3,320151
43,14,1,17,44,5.8,167493
52,22,4,33,37,6.3,247678
37,11,3,16,33,7.9,130928
37,7,3,6,31,7.9,82842
34,6,2,2,47,6.0,69924
29,2,4,6,40,7.9,45346
60,34,3,25,41,5.7,391878
22,0,3,0,45,7.7,53371
45,18,2,15,40,7.0,178597
59,30,4,32,46,5.1,330346
29,0,3,4,43,6.4,45459
42,12,3,10,43,10.0,132788
24,0,1,4,35,7.3,34485
46,25,2,21,39,10.0,251387
49,19,2,17,46,5.0,194115
54,25,2,34,40,8.1,276194
43,19,3,10,49,3.5,202067
57,34,1,47,55,7.0,389181
31,7,1,11,46,7.9,86837
26,2,2,2,50,8.2,39519
38,8,2,11,47,5.9,109972
41,19,2,18,40,8.5,208824
56,35,3,42,44,6.3,410095
58,28,3,14,53,6.8,285449
54,33,1,33,40,6.4,342496
37,9,2,8,38,5.4,89095
57,35,2,32,37,9.2,408083
45,15,1,22,42,7.1,160634
58,33,3,30,38,8.5,357130
32,8,3,10,51,8.5,112901
43,15,3,19,44,5.6,151580
42,20,3,21,48,8.7,214533
41,11,1,20,42,7.7,136211
47,18,4,15,37,5.5,197026
51,24,3,30,36,7.6,275297
26,0,4,0,38,5.6,37322
47,26,1,20,45,9.2,281696
60,38,4,37,46,8.1,455306
54,30,3,40,46,6.9,341759
32,8,3,6,36,8.8,93984
27,4,1,3,43,4.8,56176
30,3,3,6,38,6.0,43162
37,9,4,12,45,6.6,110500
46,24,3,36,45,10.0,295200
41,17,3,18,37,5.5,162300
48,25,4,27,48,4.6,260098
22,0,2,0,55,5.0,25216
21,0,3,3,47,8.3,81142
56,32,2,44,42,6.2,367678
46,20,4,28,41,6.8,221057
49,27,1,36,42,8.1,292610
41,17,3,16,39,6.8,180692
31,5,3,11,44,7.3,74015
60,35,3,50,37,7.7,410343
31,8,3,7,34,6.4,89858
56,28,4,14,44,6.8,295443
59,32,4,47,43,7.3,379057
60,37,1,31,40,8.2,417627
55,29,2,47,37,5.9,311994
54,30,1,29,44,2.8,340369
44,19,2,19,38,8.0,205748
42,17,3,13,42,8.3,165419
25,0,4,1,52,7.3,22000
53,28,3,28,46,7.4,303050
56,33,1,36,36,6.2,365332
40,10,1,12,37,7.7,113636
39,14,3,24,44,8.2,162250
55,28,3,27,36,7.1,297483
37,12,2,8,33,10.0,116850
54,29,4,34,46,4.8,324669
29,0,4,5,45,7.2,37201
46,23,2,31,45,5.4,239923
22,0,4,3,44,8.2,65621
29,8,2,5,43,4.8,77655
29,0,3,5,40,5.1,46731
60,35,2,26,46,6.1,397311
37,9,1,18,51,7.4,98885
21,0,4,2,40,6.2,31680
45,16,2,24,38,6.2,181207
60,34,3,48,37,6.7,387621
45,17,2,29,39,6.7,182810
59,29,1,39,44,9.1,345720
55,27,1,25,32,8.0,288948
23,0,2,4,45,6.5,43373
57,30,3,24,46,9.9,348839
50,23,2,32,34,7.7,245139
58,28,3,45,38,5.6,329469
54,28,3,42,43,7.4,297145
32,5,3,5,42,7.7,74929
39,17,2,22,46,6.0,154264
57,28,4,16,42,5.5,303526
37,7,2,7,49,7.1,87566
30,0,2,0,41,6.5,53279
32,11,2,15,38,9.1,134522
36,15,2,28,38,8.0,161087
44,21,1,12,47,6.1,199575
39,16,3,23,43,7.6,183178
28,7,2,9,46,8.8,87979
51,24,2,37,46,5.0,259722
41,17,3,29,33,5.6,198810
37,7,2,7,37,7.0,74200
43,21,2,18,38,7.0,207908
57,27,1,40,39,6.9,287001
36,11,3,5,41,6.6,154807
26,0,1,1,48,6.5,46399
28,0,2,3,49,7.5,59585
45,21,3,29,42,8.6,243828
38,16,3,13,42,6.3,176385
45,20,3,37,39,10.0,238833
32,9,3,14,43,9.7,122213
35,13,1,12,44,8.9,120061
46,25,2,35,47,7.9,281494
46,16,2,12,47,9.8,170380
52,30,1,43,31,6.6,330495
30,4,2,0,42,5.8,57410
36,8,2,7,50,6.3,105018
27,4,3,8,41,5.6,78259
37,8,3,13,49,7.2,71404
43,14,2,15,41,7.4,142503
46,24,3,22,44,7.3,236341
41,13,2,11,37,7.0,135777
42,12,2,10,38,7.2,121291
27,2,3,7,47,9.4,82780
34,10,1,20,47,7.9,122537
35,5,1,11,43,8.3,71674
27,2,2,2,37,7.3,60713
29,5,4,7,43,4.7,70582
28,0,3,3,49,4.5,34724
43,19,1,23,52,9.9,210964
49,19,3,21,41,6.3,220636
38,12,3,19,35,6.1,142903
51,29,3,22,47,7.3,325433
50,25,3,41,42,7.8,319261
59,33,2,43,48,7.9,372671
55,30,2,20,44,9.5,316693
38,16,3,23,39,9.1,182107
59,32,3,24,43,5.9,370990
37,13,3,10,50,8.4,135300
34,6,3,7,42,6.5,103015
51,24,4,35,38,6.8,254681
44,17,4,24,35,5.5,183315
55,26,3,36,39,4.6,286042
54,33,3,16,41,7.0,350308
23,0,4,0,47,5.7,34895
57,31,1,36,37,8.3,347110
60,34,2,23,51,6.6,393209
46,20,2,28,36,7.4,186325
43,17,3,12,55,8.9,189973
59,29,3,20,52,4.9,312070
35,8,3,7,44,6.0,97039
24,0,1,4,35,7.3,33349
49,23,2,21,43,7.4,224724
42,21,3,20,41,8.5,244718
45,22,1,19,37,8.2,234702
33,11,2,6,44,7.1,115082
38,12,2,10,39,7.4,120040
53,25,2,30,39,7.5,260637
36,13,3,20,42,4.9,111322
22,0,2,0,40,6.8,41446
55,27,3,36,53,7.3,318774
54,26,1,35,40,7.6,279005
50,25,3,15,45,5.7,259364
33,5,2,0,44,5.2,65601
33,7,3,12,45,6.7,84871
38,13,3,7,45,9.8,139055
52,23,2,15,47,5.9,231364
52,25,4,14,44,8.6,281360
55,27,3,32,44,9.2,322806
59,38,2,43,43,7.1,442610
49,27,2,39,42,6.0,283613
49,21,4,30,38,7.7,237618
36,7,3,3,43,7.3,112098
30,6,2,8,44,5.8,67286
50,20,2,9,45,6.1,207430
45,15,3,11,44,7.6,175882
59,30,3,24,42,8.3,328430
40,16,3,9,43,6.5,155551
25,0,2,4,40,6.9,47749
21,0,3,5,45,7.9,53139
50,20,2,8,42,6.8,204537
23,0,2,2,44,6.6,65285
34,7,3,1,48,5.9,87265
50,28,4,43,39,5.9,309733
24,0,2,2,46,10.0,50700
38,14,2,8,43,6.7,143909
57,29,3,32,53,8.9,349336
45,18,3,15,42,9.4,192289
21,0,3,0,46,6.7,37241
35,7,3,17,43,7.5,83906
29,8,1,9,36,7.1,95489
35,10,4,4,40,4.7,147128
44,22,3,9,47,4.8,218439
24,2,3,9,41,7.1,64883
32,11,3,11,32,6.4,110436
57,32,3,32,43,9.6,353485
57,35,1,25,38,6.7,381511
26,2,2,6,44,9.7,62688
59,36,3,30,51,6.3,388283
44,21,2,21,47,9.7,246400
31,9,1,8,51,7.7,109082
33,7,3,7,40,7.8,91997
54,32,3,49,42,6.3,369496
45,17,1,17,38,7.8,175154
27,0,3,2,40,9.4,53017
24,0,3,0,38,6.8,43216
28,0,3,0,36,6.5,49466
40,13,3,22,50,6.7,168093
49,25,2,30,33,9.3,293517
30,9,2,16,50,8.2,105418
54,32,2,17,49,9.0,342769
46,16,3,13,45,7.4,174944
23,0,3,0,37,7.1,29301
26,2,3,4,35,7.6,46044
25,4,3,6,40,8.5,77733
25,0,3,6,46,6.7,58060
43,14,3,22,43,8.9,178441
29,5,2,14,38,7.5,76339
55,25,1,35,49,3.6,266308
40,17,3,12,51,8.2,186973
55,33,1,50,42,5.2,369732
38,13,2,15,44,8.2,133018
37,14,3,22,35,8.3,146311
44,14,2,16,41,7.5,156810
23,0,3,8,46,7.8,41706
52,26,2,20,45,8.5,254907
55,34,1,49,40,6.3,383059
58,30,2,34,42,8.1,350613
33,11,3,12,41,8.6,94322
45,20,2,18,42,9.5,207990
29,0,3,2,45,5.5,48453
24,0,3,0,33,7.6,22000
34,12,4,16,43,5.7,134910
57,28,2,34,45,5.6,290487
54,29,2,31,40,7.5,303774
31,1,3,4,41,7.1,44681
23,0,4,0,41,8.6,33122
48,25,4,37,41,6.5,271324
49,26,2,16,43,6.8,266869
29,0,3,5,44,7.3,73626
23,0,2,10,32,5.8,48293
45,15,1,16,46,6.0,163426
54,24,1,39,42,8.6,271857
32,10,2,5,53,6.2,101680
29,7,2,11,37,8.7,95530
35,10,1,8,39,7.9,119022
60,34,3,20,42,4.8,382620
45,23,2,31,45,7.7,252795
25,0,3,1,33,7.7,45241
31,4,2,9,39,7.6,98464
54,24,1,21,46,6.8,254563
44,14,2,11,38,5.7,134778
35,7,2,9,50,8.9,96212
58,31,3,35,41,6.9,338110
28,0,2,0,39,5.8,62364
25,0,3,2,46,7.6,65346
46,21,1,24,51,6.0,217399
38,13,3,21,45,5.7,172870
26,0,3,8,49,6.5,57539
57,33,1,25,51,6.1,349850
33,4,2,4,38,5.7,70287
48,23,1,24,48,8.1,245454
25,3,3,6,35,6.8,69154
33,3,2,7,45,8.8,50781
37,9,3,14,43,5.8,98356
60,33,3,27,49,4.6,386112
52,24,4,38,49,7.2,301318
49,26,3,29,46,9.6,310991
23,0,3,0,44,7.7,70274
60,35,2,22,46,10.0,401428
54,28,4,19,43,7.5,315725
60,39,3,50,43,7.3,464472
47,23,2,30,50,4.0,235894
33,3,3,4,51,7.6,43541
53,28,2,33,42,7.2,301952
26,0,3,3,44,6.4,22000
44,19,3,30,43,6.8,224152
39,18,2,27,35,6.9,194321
36,9,3,2,41,6.7,74816
60,32,2,44,51,9.9,373572
48,21,2,32,39,6.5,248042
53,29,2,25,54,7.2,315502
33,5,3,11,49,6.4,69970
45,20,2,19,45,8.1,188874
56,26,1,33,46,7.2,256582
47,18,3,17,38,6.6,193777
58,28,1,27,42,4.3,281014
27,2,1,7,50,7.3,53428
25,4,2,7,40,6.6,60053
51,22,2,25,48,6.9,232617
43,18,2,21,36,5.3,166334
30,4,1,10,37,9.0,73133
52,28,4,40,53,8.2,317168
50,24,3,27,43,9.0,257560
59,31,2,32,40,8.6,356310
51,28,2,37,50,7.8,319224
38,13,2,18,49,5.4,149088
56,34,3,23,48,9.6,416035
22,0,1,1,40,5.7,32384
34,7,2,9,42,6.6,87608
33,3,3,2,45,8.0,60528
49,19,2,19,46,8.1,195639
32,2,2,1,40,7.8,39223
59,33,3,24,44,6.4,368709
22,0,3,4,44,6.2,47561
52,27,2,43,49,10.0,317979
33,12,3,23,47,6.9,144832
47,20,1,28,35,6.8,215014
37,9,3,7,42,6.0,102483
60,31,2,20,38,7.3,324818
51,23,3,37,46,7.3,250276
54,29,4,25,48,7.0,309762
44,21,4,21,44,7.5,249565
55,25,4,33,42,9.5,282011
26,0,3,1,43,6.2,29142
39,13,2,13,44,7.1,133350
50,25,2,36,40,6.1,266709
27,4,3,7,37,7.4,88292
30,4,4,4,33,6.2,60062
52,29,2,39,49,6.3,355761
54,24,4,27,45,5.0,264914
48,22,3,21,45,7.1,260744
35,11,4,19,49,7.6,150217
50,28,4,44,37,9.6,337472
57,29,2,21,34,7.7,323794
49,25,1,20,45,6.4,266467
42,13,1,7,44,5.1,131336
24,0,2,6,34,5.3,63361
40,18,3,8,45,5.2,173719
52,28,3,26,41,9.6,300661
56,31,4,16,39,7.4,334525
24,1,3,0,41,6.2,64887
47,18,1,16,31,5.7,187279
37,12,2,20,40,5.8,124597
32,10,1,10,39,6.1,74794
42,19,2,16,46,8.8,197690
37,8,3,16,42,7.0,92741
30,3,1,3,46,5.0,46143
21,0,2,4,30,10.0,30947
42,13,1,7,39,5.4,102656
46,22,3,27,46,6.2,262008
38,9,2,12,41,8.8,100856
34,12,2,20,47,7.6,155852
49,19,2,22,34,6.3,190354
32,8,4,6,47,5.3,84720
56,31,2,30,40,5.6,341089
55,33,3,44,39,5.7,375757
32,2,3,2,48,7.0,54275
27,6,3,9,49,7.3,90899
49,22,4,17,48,6.8,229823
31,1,2,0,53,6.9,29776
53,32,2,31,49,5.5,352185
26,0,1,0,39,7.4,47567
35,12,3,8,44,8.8,123741
52,22,2,35,41,6.8,240898
31,5,1,8,53,6.7,94016
43,16,3,30,49,7.1,185233
46,16,3,27,42,8.6,185043
54,33,1,23,47,5.7,350983
54,28,3,23,37,9.0,298362
49,22,3,22,44,7.6,225740
24,0,2,0,38,7.0,24829
37,13,2,11,35,8.7,140578
55,34,3,35,47,5.3,398274
33,4,3,10,48,7.7,87091
59,35,2,36,45,7.6,395357
35,8,2,10,42,5.7,106030
49,22,3,37,37,7.6,250598
49,27,4,44,37,7.4,316369
31,10,3,12,38,6.7,73678
52,24,1,29,42,8.2,242981
22,0,2,0,48,6.2,22000
34,7,4,12,48,7.4,109345
40,12,1,13,35,6.8,121730
42,19,4,29,40,6.1,199836
31,9,4,12,39,7.7,116602
47,20,1,22,30,6.7,178968
23,0,4,0,46,4.9,27325
37,16,2,11,42,4.5,146557
48,18,3,23,42,8.1,204682
49,20,2,26,50,5.3,228543
41,17,2,16,43,7.4,169168
36,12,3,18,41,7.1,153180
57,34,3,26,46,6.5,384599
40,14,1,25,48,9.7,163574
26,5,3,5,44,7.3,75834
39,13,2,17,46,8.1,142892
25,3,2,7,42,7.4,67482
23,0,2,2,43,6.7,49034
21,0,2,0,44,7.0,29085
58,31,2,30,39,9.0,340708
35,14,1,13,40,8.5,163571
54,27,1,26,50,9.7,293416
55,30,1,34,53,7.3,332490
45,17,2,18,51,5.8,191907
44,20,4,27,36,6.4,213935
32,2,1,8,36,5.3,46082
38,11,4,5,37,8.1,132642
35,9,3,18,44,6.2,127847
36,11,3,16,30,2.7,82628
47,23,3,16,40,10.0,238460
28,1,3,5,50,6.2,40630
45,20,1,21,48,6.2,201464
37,12,3,14,40,9.3,127838
49,28,3,33,41,5.3,315769
28,6,3,3,46,8.6,87879
35,10,3,16,48,6.2,131570
47,24,1,15,40,5.1,243576
27,5,3,3,42,9.4,87299
23,0,3,4,40,8.3,42521
49,25,2,22,36,8.3,262901
44,20,2,12,42,7.5,195820
23,0,3,6,42,7.8,31623
40,17,4,22,37,5.3,195015
35,8,2,5,46,7.2,93401
45,16,3,18,45,5.7,152579
50,25,2,18,46,5.1,261693
34,10,1,16,39,7.6,109213
27,5,1,6,33,8.6,44282
37,15,1,23,45,6.5,141515
40,15,2,12,40,6.7,143143
56,29,2,31,39,5.4,312636
29,0,3,0,37,7.0,47856
58,28,3,32,42,8.1,323495
42,13,1,12,51,8.1,146204
22,0,2,0,40,7.8,39288
44,19,2,18,38,6.1,211777
28,0,3,5,46,6.1,53298
31,1,1,0,44,8.1,48015
33,3,1,3,32,8.1,59619
37,11,4,19,46,6.8,131202
28,5,3,6,54,6.4,79513
41,16,2,20,30,8.6,141997
38,10,2,14,37,6.5,105809
50,29,2,32,30,8.0,334079
38,17,3,11,43,6.8,177491
51,24,3,32,48,5.5,265911
58,33,1,50,44,9.3,392753
52,27,3,44,50,7.2,318754
31,10,2,8,47,6.0,99662
45,16,2,20,52,5.1,169514
53,32,2,47,49,5.2,352027
58,33,2,49,41,6.5,381763
28,0,2,4,43,9.7,39297
31,2,2,7,39,6.2,63090
42,18,2,25,42,9.0,190587
44,16,1,18,43,6.8,152304
37,11,3,6,43,5.3,114156
32,9,1,4,50,6.3,101075
52,28,1,23,41,5.2,270082
35,13,3,24,38,5.8,139745
36,15,3,21,39,5.8,162612
42,14,3,20,46,4.3,167490
48,27,2,37,36,9.1,268855
40,19,2,20,42,7.3,205192
53,29,3,34,50,6.0,322477
30,0,3,1,44,7.3,37565
60,30,2,46,43,5.8,329926
52,26,4,33,43,3.3,282673
53,24,1,37,38,10.0,269540
22,1,4,5,39,7.3,45799
53,26,3,36,42,6.2,309363
53,23,3,19,44,4.3,245086
33,8,4,6,48,4.9,100166
50,22,3,28,43,9.3,244517
53,26,2,41,50,9.1,312358
33,9,2,18,51,8.1,133442
46,22,1,23,47,5.4,208253
42,16,2,14,49,9.1,164207
59,33,3,50,38,7.6,397416
22,0,2,5,37,7.9,53940
58,33,2,41,46,7.6,374406
59,31,3,33,36,4.9,332651
46,21,3,14,42,5.3,214553
35,13,1,14,47,6.3,151890
54,28,2,16,50,7.9,297602
60,31,1,42,42,5.1,321983
31,8,3,13,40,6.8,102165
23,2,1,2,45,6.8,59033
26,5,3,14,38,8.1,82033
29,6,2,14,42,7.9,103228
26,0,2,2,43,5.6,47790
29,4,4,11,43,9.0,81209
59,36,1,39,43,5.4,401468
51,22,2,27,39,8.5,213399
52,24,1,23,39,6.2,255713
32,9,2,11,39,7.2,99256
28,0,3,0,35,7.3,33351
28,2,2,5,45,7.3,49402
48,21,1,26,47,7.9,226330
40,16,2,23,47,7.5,161736
27,3,3,6,42,8.1,54040
31,9,3,11,39,7.7,107650
